kausi,pvm,klo,k1,k2,v1,v2,koti_joukkue,vieras_joukkue,koti_e1_hp1_pelaaja,koti_e1_hp2_pelaaja,koti_e1_hp3_pelaaja,koti_e1_hp4_pelaaja,koti_e2_hp1_pelaaja,koti_e2_hp2_pelaaja,koti_e2_hp3_pelaaja,koti_e2_hp4_pelaaja,vieras_e1_hp1_pelaaja,vieras_e1_hp2_pelaaja,vieras_e1_hp3_pelaaja,vieras_e1_hp4_pelaaja,vieras_e2_hp1_pelaaja,vieras_e2_hp2_pelaaja,vieras_e2_hp3_pelaaja,vieras_e2_hp4_pelaaja,koti_e1_1,koti_e1_2,koti_e1_3,koti_e1_4,koti_e1_5,koti_e1_6,koti_e1_7,koti_e1_8,koti_e1_9,koti_e1_10,koti_e1_11,koti_e1_12,koti_e1_13,koti_e1_14,koti_e1_15,koti_e1_16,vieras_e1_1,vieras_e1_2,vieras_e1_3,vieras_e1_4,vieras_e1_5,vieras_e1_6,vieras_e1_7,vieras_e1_8,vieras_e1_9,vieras_e1_10,vieras_e1_11,vieras_e1_12,vieras_e1_13,vieras_e1_14,vieras_e1_15,vieras_e1_16,koti_e2_1,koti_e2_2,koti_e2_3,koti_e2_4,koti_e2_5,koti_e2_6,koti_e2_7,koti_e2_8,koti_e2_9,koti_e2_10,koti_e2_11,koti_e2_12,koti_e2_13,koti_e2_14,koti_e2_15,koti_e2_16,vieras_e2_1,vieras_e2_2,vieras_e2_3,vieras_e2_4,vieras_e2_5,vieras_e2_6,vieras_e2_7,vieras_e2_8,vieras_e2_9,vieras_e2_10,vieras_e2_11,vieras_e2_12,vieras_e2_13,vieras_e2_14,vieras_e2_15,vieras_e2_16,tyyppi,Pelisarja Id,ksanktio,vsanktio,Kenttä nro.
2000,2000-01-27,NULL,25,16,26,18,ITKK99,YJ,Jussi Ahonen,Mikko Kuokka,Ville Latva,Mikko Kuusio,Jussi Ahonen,Juha Väänänen,Mikko Kuokka,Ville Latva,Jussi Vihmo,Henrikki Pantsar,Henri Mäkelä,Toni Vesansalo,Henrikki Pantsar,Henri Mäkelä,Toni Vesansalo,Jussi Vihmo,1,1,2,3,2,3,−1,2,3,1,1,3,1,6,2,−1,0,4,1,1,2,0,2,1,2,2,3,1,1,2,5,2,1,3,3,3,3,−1,2,3,3,2,2,h,−1,3,h,2,1,1,1,2,1,4,3,2,2,1,−1,−1,2,2,4,2,1,NULL,NULL,NULL,
2000,2000-01-27,NULL,19,23,10,2,LSD,KCK,Riku Kemppainen,Teemu Hiltunen,Mikko Piironen,Jari Välimäki,Mikko Piironen,Teemu Hiltunen,Jari Välimäki,Riku Kemppainen,Ossi Hämäläinen,Mikko Huhtanen,Janne Pulli,Miika Kuusinen,Ossi Hämäläinen,Mikko Huhtanen,Janne Pulli,Miika Kuusinen,0,2,3,2,2,1,2,3,1,2,3,0,3,2,1,1,4,1,3,1,3,2,4,0,2,1,0,2,3,2,3,2,2,2,3,2,2,1,3,1,3,0,1,2,1,0,1,2,3,6,2,4,3,4,1,5,3,1,1,2,h,1,1,1,1,NULL,NULL,NULL,
2000,2000-02-01,NULL,28,28,36,17,YJ,KCK,Jussi Vihmo,Antti Kokkonen,Henrikki Pantsar,Seppo Neuvonen,Henrikki Pantsar,Seppo Neuvonen,Jussi Vihmo,Henri Mäkelä,Jani Manninen,Mikko Huhtanen,Janne Pulli,Miika Kuusinen,Sanna Venäläinen,Ossi Hämäläinen,Janne Pulli,Miika Kuusinen,3,2,2,1,1,3,3,0,2,2,h,1,1,4,1,0,2,2,1,2,2,2,0,3,h,h,3,1,2,0,3,1,2,1,3,1,0,3,2,1,2,2,1,1,1,5,2,h,1,3,2,2,3,3,4,h,h,3,2,3,1,1,2,h,1,NULL,NULL,NULL,
2000,2000-02-01,NULL,17,16,13,31,ITKK99,LSD,Mikko Kuokka,Jussi Ahonen,Ville Latva,Anssi Jääskeläinen,Mikko Kuokka,Jussi Ahonen,Ville Latva,Anssi Jääskeläinen,Mikko Piironen,Teemu Hiltunen,Jari Välimäki,Sami Mannelin,Mikko Piironen,Timo Heikka,Teemu Hiltunen,Riku Kemppainen,3,2,4,3,2,1,0,1,3,1,1,0,2,2,1,4,2,1,4,1,2,2,1,2,4,1,4,3,1,1,1,2,2,4,2,3,3,2,1,1,3,2,h,h,1,4,h,2,1,1,3,1,2,3,2,1,1,2,2,1,1,2,h,h,1,NULL,NULL,NULL,
2000,2000-02-03,NULL,28,19,50,32,SMS,PKMM,Jarkko Sonninen,Tero Turtiainen,Tomi Lapinlampi,Pekka Riiali,Tomi Lapinlampi,Timo Väkevä,Pekka Riiali,Jarkko Sonninen,Joni Kämäräinen,Ilmari Laakkonen,Marko Parviainen,Pasi Tiihonen,Joni Kämäräinen,Marko Parviainen,Asko Rouvinen,Ilmari Laakkonen,0,4,h,2,1,2,1,3,1,1,h,2,4,0,3,0,1,2,2,0,4,1,1,1,0,1,1,1,1,0,1,h,2,3,5,5,1,3,h,2,6,1,1,h,h,h,2,h,2,2,5,2,3,h,4,h,3,h,h,3,h,h,h,h,1,NULL,NULL,NULL,
2000,2000-02-03,NULL,23,29,14,28,LMTVO,TPNMP,Juha Varis,Jari Nousiainen,Mikko Peipponen,Aki Penttinen,Juha Varis,Jari Nousiainen,Mikko Peipponen,Aki Penttinen,Saku Ruottinen,Velipekka Pussinen,Pasi Rautiainen,Mika Alitalo,Saku Ruottinen,Velipekka Pussinen,Mikko Ollila,Jaakko Akkanen,2,1,2,2,1,0,0,2,5,3,2,3,2,2,1,0,3,4,1,2,2,2,2,1,4,1,5,1,1,1,1,1,1,4,2,2,1,1,3,h,2,2,2,h,h,1,3,2,4,1,1,2,3,2,2,1,3,1,−1,−1,h,3,0,3,1,NULL,NULL,NULL,
2000,2000-02-08,NULL,35,27,10,23,LSD,YJ,Mikko Piironen,Pekka Saarelainen,Teemu Hiltunen,Sami Mannelin,Mikko Piironen,Pekka Saarelainen,Teemu Hiltunen,Jari Välimäki,Seppo Neuvonen,Jussi Vihmo,Henri Mäkelä,Henrikki Pantsar,Henrikki Pantsar,Jussi Vihmo,Henri Mäkelä,Seppo Neuvonen,4,0,2,1,2,2,h,1,1,1,3,1,0,2,1,1,3,3,2,3,1,3,4,2,2,2,2,1,3,2,0,0,4,3,1,1,3,2,1,4,2,h,3,2,1,h,h,h,2,5,1,0,4,2,3,1,h,1,1,3,1,2,3,h,1,NULL,NULL,NULL,
2000,2000-02-08,NULL,22,30,24,20,KCK,ITKK99,Jani Manninen,Ossi Hämäläinen,Ilkka Uuhiniemi,Mikko Huhtanen,Ossi Hämäläinen,Pasi Sirén,Janne Pulli,Miika Kuusinen,Ville Latva,Juha Väänänen,Anssi Jääskeläinen,Mikko Kuusio,Ville Latva,Juha Väänänen,Anssi Jääskeläinen,Mikko Kuusio,3,2,2,3,h,3,3,0,0,1,4,1,2,1,1,2,2,1,1,1,1,3,3,3,2,0,2,2,3,1,2,0,1,2,2,2,3,1,2,2,2,0,1,1,h,1,3,2,4,3,1,1,3,2,1,1,h,2,3,1,4,1,1,1,1,NULL,NULL,NULL,
2000,2000-02-10,NULL,28,26,22,21,TPNMP,SMS,Saku Ruottinen,Mika Alitalo,Mikko Ollila,Jaakko Akkanen,Saku Ruottinen,Mika Alitalo,Pasi Rautiainen,Saku Laapio,Reni Waegelein,Timo Väkevä,Ilkka Toivanen,Pekka Riiali,Reni Waegelein,Timo Väkevä,Tero Turtiainen,Pekka Riiali,6,3,1,5,1,−1,1,1,3,2,1,0,1,−1,1,1,4,2,0,5,−1,2,4,4,3,0,0,0,−1,1,1,2,2,3,2,h,1,3,3,1,3,2,2,h,1,2,2,0,4,3,3,4,−1,2,3,2,1,2,2,h,−1,−1,0,2,1,NULL,NULL,NULL,
2000,2000-02-10,NULL,24,25,32,34,PKMM,LMTVO,Joni Kämäräinen,Asko Rouvinen,Marko Parviainen,Pekka Jäppinen,Joni Kämäräinen,Asko Rouvinen,Marko Parviainen,Pekka Jäppinen,Juha Varis,Jari Nousiainen,Mikko Peipponen,Jani Niemeläinen,Juha Varis,Jari Nousiainen,Aki Penttinen,Jani Niemeläinen,5,4,5,2,2,1,1,0,0,0,0,2,0,1,1,3,2,3,3,2,3,4,1,0,1,1,0,2,1,1,0,0,2,2,h,2,1,1,3,2,h,h,2,4,2,h,1,4,h,2,2,1,2,3,2,4,2,h,1,1,2,h,h,2,1,NULL,NULL,NULL,
2000,2000-02-15,NULL,13,15,16,14,YJ,ITKK99,Jussi Vihmo,Toni Vesansalo,Henrikki Pantsar,Seppo Neuvonen,Jussi Vihmo,Toni Vesansalo,Henrikki Pantsar,Seppo Neuvonen,Jussi Ahonen,Mikko Kuokka,Ville Latva,Anssi Jääskeläinen,Jussi Ahonen,Mikko Kuokka,Keijo Karjalainen,Anssi Jääskeläinen,5,4,1,2,2,1,3,3,3,0,1,1,0,2,1,2,3,1,3,4,1,h,3,2,3,0,5,1,h,2,2,1,4,2,2,4,3,3,2,h,3,3,0,2,h,1,1,1,1,6,2,2,5,2,0,2,1,h,4,1,2,2,0,0,1,NULL,NULL,NULL,
2000,2000-02-15,NULL,20,32,28,25,KCK,LSD,Ossi Hämäläinen,Sanna Venäläinen,Pasi Sirén,Ilkka Uuhiniemi,Ossi Hämäläinen,Sanna Venäläinen,Janne Pulli,Miika Kuusinen,Teemu Hiltunen,Pekka Saarelainen,Timo Heikka,Sami Mannelin,Teemu Hiltunen,Pekka Saarelainen,Timo Heikka,Sami Mannelin,4,2,0,1,2,5,h,h,3,3,2,2,1,1,1,1,4,4,0,1,2,5,0,2,3,2,2,1,0,0,1,0,1,2,1,3,−1,1,2,2,2,4,h,1,−1,1,3,1,3,3,5,4,2,h,h,4,2,3,2,2,1,3,h,1,1,NULL,NULL,NULL,
2000,2000-02-17,NULL,12,30,24,20,SMS,LMTVO,Reni Waegelein,Timo Väkevä,Jarkko Sonninen,Pekka Riiali,Reni Waegelein,Timo Väkevä,Jarkko Sonninen,Pekka Riiali,Juha Varis,Jari Nousiainen,Mikko Peipponen,Aki Penttinen,Juha Varis,Jari Nousiainen,Mikko Peipponen,Aki Penttinen,2,2,3,2,6,1,0,4,5,4,0,0,0,0,0,2,2,5,3,2,3,1,2,3,0,0,2,0,2,1,0,1,4,2,1,h,1,3,5,3,h,2,h,1,1,h,2,h,3,2,1,2,−1,2,4,4,2,3,h,h,−1,3,h,2,1,NULL,NULL,NULL,
2000,2000-02-17,NULL,28,31,43,12,PKMM,TPNMP,Ilmari Laakkonen,Asko Rouvinen,Marko Parviainen,Pekka Jäppinen,Ilmari Laakkonen,Joni Kämäräinen,Marko Parviainen,Pekka Jäppinen,Pasi Rautiainen,Mikko Ollila,Mika Alitalo,Jaakko Akkanen,Pasi Rautiainen,Mikko Ollila,Mika Alitalo,Saku Laapio,3,1,1,2,4,0,0,2,2,2,2,h,1,3,1,0,3,1,2,4,2,4,1,−2,1,1,0,1,0,0,−2,−2,2,2,1,1,2,3,3,1,1,2,1,2,2,0,1,1,4,3,4,2,h,3,3,1,3,0,4,1,2,h,h,1,1,NULL,NULL,NULL,
2000,2000-02-24,NULL,12,20,30,16,KCK,SMS,Ossi Hämäläinen,Sanna Venäläinen,Mikko Huhtanen,Miika Kuusinen,Ossi Hämäläinen,Sanna Venäläinen,Mikko Huhtanen,Miika Kuusinen,Timo Väkevä,Reni Waegelein,Ilkka Toivanen,Pekka Riiali,Reni Waegelein,Tero Turtiainen,Ilkka Toivanen,Pekka Riiali,5,3,2,2,3,3,0,4,1,0,1,1,0,0,4,3,0,1,3,4,3,2,2,0,1,1,3,1,2,1,0,0,3,1,−1,3,3,3,h,3,1,2,3,−1,1,4,1,1,3,3,6,2,h,3,h,3,h,3,2,1,h,1,1,2,4,1,NULL,NULL,
2000,2000-02-24,NULL,20,13,23,30,TPNMP,ITKK99,Saku Ruottinen,Pasi Rautiainen,Mikko Ollila,Jakub Pavelek,Saku Ruottinen,Pasi Rautiainen,Mikko Ollila,Jakub Pavelek,Mikko Kuokka,Ville Latva,Jussi Ahonen,Anssi Jääskeläinen,Mikko Kuokka,Ville Latva,Jussi Ahonen,Mikko Kuusio,2,1,1,3,3,4,1,3,3,1,0,1,3,1,2,0,5,2,2,4,2,1,h,3,3,0,2,1,0,0,2,h,3,1,3,1,0,4,2,4,3,4,2,h,2,0,2,h,3,1,1,2,4,1,4,2,2,h,1,1,h,h,h,2,4,2,NULL,NULL,
2000,2000-02-29,NULL,33,20,18,21,SMS,KCK,Reni Waegelein,Tero Turtiainen,Ilkka Toivanen,Pekka Riiali,Reni Waegelein,Tero Turtiainen,Ilkka Toivanen,Pekka Riiali,Ossi Hämäläinen,Janne Pulli,Mikko Huhtanen,Miika Kuusinen,Ossi Hämäläinen,Pasi Sirén,Mikko Huhtanen,Miika Kuusinen,2,2,3,4,1,2,0,1,0,0,3,3,2,0,0,0,4,4,2,2,1,1,2,3,2,3,1,h,1,2,0,0,1,1,0,6,2,h,1,3,1,4,4,2,1,h,1,3,5,1,h,h,3,1,4,1,2,3,3,1,1,h,3,1,4,1,NULL,NULL,
